"Tally","Mean_B","RE","RE_Decrease","RE_Rate","VOV","VOV_Decrease","VOV_Rate","FOM","FOM_Behavior","PDFSlope","run_id"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1380-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1380-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1390-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1390-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1400-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1400-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","7.20","out_effTest-1410-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1410-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","7.20","out_effTest-1420-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1420-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","7.20","out_effTest-1430-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1430-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","7.20","out_effTest-1440-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1440-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","7.20","out_effTest-1450-keV"
"18","random","0.00","yes","yes","0.00","yes","yes","constant","random","10.00","out_effTest-1450-keV"
"11","random","0.00","yes","yes","0.00","yes","yes","constant","random","7.20","out_effTest-1460-keV"
