contents,Es_keV,y_m,PrReach,uPrReach,PrDet,uPrDet
f,450,-5,3.1374999999999996e-6,4.078012132123934e-8,2.0245000000000003e-6,3.2027260236047346e-8
f,450,-2.5,5.4325e-5,5.369553394466341e-7,3.3745e-5,4.147820221670655e-7
f,450,-2,1.4940000000000003e-4,8.87933528770876e-7,9.5385e-5,6.958752483471803e-7
f,450,-1.5,3.884849999999999e-4,1.4293409390970198e-6,2.5123499999999993e-4,1.1288282196130419e-6
f,450,-1,8.078700000000002e-4,2.0579783042158758e-6,5.288149999999998e-4,1.6368830052261676e-6
f,450,-0.5,0.0012513350000000008,2.560542766211492e-6,8.25805e-4,2.0456123088715394e-6
f,450,0,0.001443405,2.7478661298167344e-6,9.557699999999999e-4,2.2007683889189705e-6
f,500,-15,4.0099999999999995e-7,9.245248783910577e-9,2.6079999999999995e-7,7.2490907263463056e-9
f,500,-12.5,6.751667630000003e-7,1.0922712558732425e-8,4.404999960000002e-7,8.629187691371566e-9
f,500,-10,1.0700000174999994e-6,1.3739001896320319e-8,7.03000003e-7,1.088977699252402e-8
f,500,-7.5,1.8760000000000003e-6,3.135034980606276e-8,1.2470000000000003e-6,2.512544268221955e-8
f,500,-5,4.041000000000001e-6,4.622688464600443e-8,2.5779999999999997e-6,3.612843108847933e-8
f,500,-2.5,6.857375000000001e-5,3.012039312757533e-7,4.296749999999999e-5,2.3410563358072863e-7
f,500,-2,1.8644000000000012e-4,4.955568427271047e-7,1.1854624999999998e-4,3.884745347164221e-7
f,500,-1.5,4.704200000000001e-4,7.866560885132417e-7,3.0436749999999995e-4,6.219018712970444e-7
f,500,-1,9.600665000000003e-4,1.1215970586837848e-6,6.292475000000002e-4,8.92820814235972e-7
f,500,-0.5,0.0014830020000000002,1.3901645676809378e-6,9.791887499999998e-4,1.1136341046887952e-6
f,500,0,0.0017097780000000003,1.4951875827842868e-6,0.0011319612499999996,1.1979241039914644e-6
f,511,-15,4.2119999999999993e-7,9.52858376020277e-9,2.766e-7,7.495471895377902e-9
f,511,-12.5,6.903332600000002e-7,1.1066975577808377e-8,4.48999992e-7,8.717694047413942e-9
f,511,-10,1.1106669720000003e-6,1.3983667814648185e-8,7.320000035e-7,1.1138112174522832e-8
f,511,-7.5,1.969999999999999e-6,3.2139056001732525e-8,1.3019999999999994e-6,2.5651184793640627e-8
f,511,-5,4.219500000000002e-6,4.7198019068468326e-8,2.6925e-6,3.6936893623178436e-8
f,511,-2.5,7.161875000000002e-5,3.076943629998363e-7,4.4851250000000005e-5,2.3898316291350033e-7
f,511,-2,1.9467375000000006e-4,5.063928844991092e-7,1.2386500000000005e-4,3.9707566384058025e-7
f,511,-1.5,4.885374999999999e-4,8.006837321454748e-7,3.165325000000001e-4,6.343610504662226e-7
f,511,-1,9.964439999999995e-4,1.1412337245796066e-6,6.536575000000001e-4,9.110675531688429e-7
f,511,-0.5,0.0015356327500000006,1.416051249937201e-6,0.0010142687500000003,1.133559992497268e-6
f,511,0,0.001769638,1.515440540645747e-6,0.0011718527499999997,1.2163371726517447e-6
f,550,-15,4.838e-7,1.0207353815303943e-8,3.1920000000000005e-7,8.084165891815926e-9
f,550,-12.5,7.791671455e-7,1.1742546008182845e-8,5.066666999999999e-7,9.264083773028421e-9
f,550,-10,1.3071665644999997e-6,1.5173717929859118e-8,8.559998445000001e-7,1.204385718097775e-8
f,550,-7.5,2.2354999999999996e-6,3.4314953159045684e-8,1.4690000000000003e-06,2.7348149145143263e-8
f,550,-5,4.935999999999999e-6,5.091403972351339e-8,3.1425e-6,3.997716026923999e-8
f,550,-2.5,8.435500000000003e-5,3.3357866754513477e-7,5.274125000000001e-5,2.5953869393138544e-7
f,550,-2,2.2411e-4,5.421931337074745e-7,1.4294499999999987e-4,4.268293047790921e-7
f,550,-1.5,5.566312499999999e-4,8.513387618555644e-7,3.609087499999997e-4,6.779042707932548e-7
f,550,-1,0.0011227372499999998,1.2082367224824676e-6,7.375424999999997e-4,9.683982230485847e-7
f,550,-0.5,0.0017217447500000006,1.4917374238533513e-6,0.0011385302499999994,1.2010640133389672e-6
f,550,0,0.0019819727500000007,1.607799366614937e-6,0.001313827,1.2902356069625123e-6
f,600,-15,5.588000000000003e-7,1.0851405187403152e-8,3.700000000000001e-7,8.713638612588888e-9
f,600,-12.5,9.78333455e-7,4.133094094154543e-8,6.249998599999999e-7,3.2532799411401854e-8
f,600,-10,1.4416671950000004e-6,5.0193303688852686e-8,9.516665549999998e-7,4.010382947928196e-8
f,600,-7.5,2.6299999999999994e-6,1.1874640059597596e-7,1.6849999999999993e-6,9.367579762270509e-8
f,600,-5,5.599999999999998e-6,1.717570749343386e-7,3.5599999999999985e-6,1.360135634909254e-7
f,600,-2.5,1.0087249999999999e-4,3.6426168193035957e-7,6.312875e-5,2.8409679276945486e-7
f,600,-2,2.6438875000000004e-4,5.883191218836268e-7,1.687224999999999e-4,4.640621348130719e-7
